1,GEORGE WASHINGTON WAS THE FIRST AND ONLY PRESIDENT TO BE PUT INTO OFFICE BY RECEIVING ONE HUNDRED PERCENT OF THE ELECTORAL COLLEGE VOTES.,EWFHEW TXKYGAEQFA TXK QYW CGHKQ XAN FARM ZHWKGNWAQ QF JW ZSQ GAQF FCCGLW JM HWLWGUGAE FAW YSANHWN ZWHLWAQ FC QYW WRWLQFHXR LFRRWEW UFQWK.,T is W.,Packs/presidential Cryptograms
2,"FEELING INSIGNIFICANT DURING HIS TWO TERMS AS VICE PRESIDENT, JOHN ADAMS JOURNEYED ON THROUGH TWO TERMS AS PRESIDENT WITH THE PHILOSOPHY THAT ADVERSITY FORGES PEOPLE AND COUNTRIES.","WDDZAFI AFUAIFAWARGFN QTJAFI CAU NSM NDJOU GU HARD LJDUAQDFN, YMCF GQGOU YMTJFDXDQ MF NCJMTIC NSM NDJOU GU LJDUAQDFN SANC NCD LCAZMUMLCX NCGN GQHDJUANX WMJIDU LDMLZD GFQ RMTFNJADU.",Y is J.,Packs/presidential Cryptograms
3,"BORN INTO A WEALTHY VIRGINIA FAMILY, THOMAS JEFFERSON WENT ON TO BECOME PRESIDENT, DURING WHICH TIME HE JOINED THE LOUISIANA PURCHASE TO THE UNITED STATES AND, AS EVERY SCHOOLCHILD KNOWS (HOPEFULLY), SENT LEWIS AND CLARK ON THEIR FAMOUS TRIP ACROSS AMERICA.","TREK NKSR W DJWOSGA LNEBNKNW YWXNOA, SGRXWM QJYYJEMRK DJKS RK SR TJURXJ VEJMNZJKS, ZHENKB DGNUG SNXJ GJ QRNKJZ SGJ ORHNMNWKW VHEUGWMJ SR SGJ HKNSJZ MSWSJM WKZ, WM JLJEA MUGRROUGNOZ IKRDM (GRVJYHOOA), MJKS OJDNM WKZ UOWEI RK SGJNE YWXRHM SENV WUERMM WXJENUW.",I is K.,Packs/presidential Cryptograms
4,"A JOVIAL AND VIVACIOUS WIFE, DOLLEY, BROUGHT LIFE TO THE ROLE OF FIRST LADY FOR JAMES MADISON, THE PRESIDENT WHO IS SOMETIMES CALLED THE FATHER OF THE CONSTITUTION AND BILL OF RIGHTS BECAUSE OF THE PAPERS HE HELPED PREPARE AND WRITE.","Q VNLHQU QTY LHLQBHNKR SHCZ, YNUUZO, JANKDWM UHCZ MN MWZ ANUZ NC CHARM UQYO CNA VQGZR GQYHRNT, MWZ XAZRHYZTM SWN HR RNGZMHGZR BQUUZY MWZ CQMWZA NC MWZ BNTRMHMKMHNT QTY JHUU NC AHDWMR JZBQKRZ NC MWZ XQXZAR WZ WZUXZY XAZXQAZ QTY SAHMZ.",L is V.,Packs/presidential Cryptograms
5,"WE HAVE JAMES MONROE (NICKNAMED THE ""ERA-OF-GOOD-FEELINGS"" PRESIDENT) TO THANK FOR THE ORANGE JUICE EVERY MORNING THAT COMES FROM FLORIDA, AS THAT LAND WAS CEDED TO THE UNITED STATES FROM SPAIN ONE YEAR WHILE HE WAS IN OFFICE.","GU QLKU OLHUX HYIMYU (ITJEILHUS RQU ""UML-YZ-VYYS-ZUUWTIVX"" BMUXTSUIR) RY RQLIE ZYM RQU YMLIVU OCTJU UKUMN HYMITIV RQLR JYHUX ZMYH ZWYMTSL, LX RQLR WLIS GLX JUSUS RY RQU CITRUS XRLRUX ZMYH XBLTI YIU NULM GQTWU QU GLX TI YZZTJU.",V is G.,Packs/presidential Cryptograms
6,"AS BEST I COULD TELL FROM MY READING, JOHN QUINCY ADAMS WAS AN ADMIRED POLITICIAN BOTH BEFORE AND AFTER HIS TERM, BUT WHILE PRESIDENT THERE WERE OBJECTIONS TO SOME OF HIS DOMESTIC PROPOSALS AND NOTHING OF MUCH CONSEQUENCE OCCURRED IN FOREIGN AFFAIRS.","SC WGCH E ZRBJV HGJJ PORL LI OGSVEYN, QRKY XBEYZI SVSLC TSC SY SVLEOGV URJEHEZESY WRHK WGPROG SYV SPHGO KEC HGOL, WBH TKEJG UOGCEVGYH HKGOG TGOG RWQGZHERYC HR CRLG RP KEC VRLGCHEZ UORURCSJC SYV YRHKEYN RP LBZK ZRYCGXBGYZG RZZBOOGV EY PROGENY SPPSEOC.",X is Q.,Packs/presidential Cryptograms
7,"HE'D BEEN CONSIDERED A TOUGH MAJOR GENERAL BY HIS MEN, SO ANDREW JACKSON WAS CALLED OLD HICKORY, AND THAT PERCEPTION PERSISTED WHILE HE WAS PRESIDENT AND BEYOND THROUGH THE REST OF HIS LIFE.","ZO'K WOOD XJDFVKOYOK H MJIUZ QHPJY UODOYHG WL ZVF QOD, FJ HDKYOC PHXTFJD CHF XHGGOK JGK ZVXTJYL, HDK MZHM EOYXOEMVJD EOYFVFMOK CZVGO ZO CHF EYOFVKODM HDK WOLJDK MZYJIUZ MZO YOFM JA ZVF GVAO.",T is K.,Packs/presidential Cryptograms
8,"BECAUSE OF BEING BORN IN THE VILLAGE WITH THAT NAME, MARTIN VAN BUREN BECAME KNOWN AS OLD KINDERHOOK, AND THEN SUPPORTERS SHOWED THEIR APPROVAL IN HIS CAMPAIGN FOR PRESIDENT WITH THE ABBREVIATION OK, WHICH IS A WORD FORM THAT HAS NOW SPREAD AROUND THE WORLD.","RHWMCTH YX RHBQO RYZQ BQ KNH IBEEMOH UBKN KNMK QMJH, JMZKBQ IMQ RCZHQ RHWMJH AQYUQ MT YES ABQSHZNYYA, MQS KNHQ TCLLYZKHZT TNYUHS KNHBZ MLLZYIME BQ NBT WMJLMBOQ XYZ LZHTBSHQK UBKN KNH MRRZHIBMKBYQ YA, UNBWN BT M UYZS XYZJ KNMK NMT QYU TLZHMS MZYCQS KNH UYZES.",W is C.,Packs/presidential Cryptograms
9,"WILLIAM HENRY HARRISON GAVE THE LONGEST INAUGURAL SPEECH EVER OF NEARLY TWO HOURS, EVEN THOUGH DANIEL WEBSTER HAD EDITED IT, BUT SERVED THE SHORTEST TERM AS PRESIDENT EVER BECAUSE HE DIED AFTER ONLY THIRTY DAYS.","EQAAQHG CLPYN CHYYQZSP WHTL OCL ASPWLZO QPHDWDYHA ZKLLRC LTLY SJ PLHYAN OES CSDYZ, LTLP OCSDWC UHPQLA ELIZOLY CHU LUQOLU QO, IDO ZLYTLU OCL ZCSYOLZO OLYG HZ KYLZQULPO LTLY ILRHDZL CL UQLU HJOLY SPAN OCQYON UHNZ.",E is W.,Packs/presidential Cryptograms
10,"HE WAS NEVER ELECTED AS SUCH, BUT JOHN TYLER BECAME PRESIDENT WHEN HIS PREDECESSOR PASSED AWAY WHILE IN OFFICE, HE GOT MARRIED A SECOND TIME TO A WOMAN NAMED JULIA, HAVING A TOTAL FROM BOTH WIVES OF FIFTEEN CHILDREN.","VQ UEN HQCQG QSQDBQL EN NRDV, XRB YAVH BMSQG XQDEZQ IGQNKLQHB UVQH VKN IGQLQDQNNAG IENNQL EUEM UVKSQ KH AJJKDQ, VQ OAB ZEGGKQL E NQDAHL BKZQ BA E UAZEH HEZQL YRSKE, VECKHO E BABES JGAZ XABV UKCQN AJ JKJBQQH DVKSLGQH.",M is Y.,Packs/presidential Cryptograms
